Date,Investment,Transaction Type,Amount,Shares/Unit,Purchase Price,Shares,Type
1/15/2010,RMCVX,Adjustments,0.01,0.001,10,0.001,buy
5/21/2014,FSEVX,ADMINISTRATIVE FEES,-1.69,-0.033,51.21212121,0.033,sell
5/21/2014,FUSVX,ADMINISTRATIVE FEES,-3.49,-0.052,67.11538462,0.052,sell
5/21/2014,ORIYX,ADMINISTRATIVE FEES,-1.93,-0.05,38.6,0.05,sell
5/21/2014,GGOIX,ADMINISTRATIVE FEES,-1.67,-0.055,30.36363636,0.055,sell
5/21/2014,FRESX,ADMINISTRATIVE FEES,-3.76,-0.103,36.50485437,0.103,sell
5/21/2014,FIGRX,ADMINISTRATIVE FEES,-5.04,-0.127,39.68503937,0.127,sell
5/21/2014,FFFFX,ADMINISTRATIVE FEES,-3.41,-0.37,9.216216216,0.37,sell
5/21/2014,FCNTX,ADMINISTRATIVE FEES,-2.85,-0.03,95,0.03,sell
5/21/2014,DODGX,ADMINISTRATIVE FEES,-2.95,-0.018,163.8888889,0.018,sell
5/21/2014,RMCVX,ADMINISTRATIVE FEES,-2.39,-0.224,10.66964286,0.224,sell
5/21/2014,PVADX,ADMINISTRATIVE FEES,-5.1,-0.154,33.11688312,0.154,sell
1/27/2014,FSEVX,ADMINISTRATIVE FEES,-1.69,-0.033,51.21212121,0.033,sell
1/27/2014,FUSVX,ADMINISTRATIVE FEES,-3.31,-0.052,63.65384615,0.052,sell
1/27/2014,ORIYX,ADMINISTRATIVE FEES,-2,-0.053,37.73584906,0.053,sell
1/27/2014,GGOIX,ADMINISTRATIVE FEES,-1.66,-0.057,29.12280702,0.057,sell
1/27/2014,FRESX,ADMINISTRATIVE FEES,-3.37,-0.105,32.0952381,0.105,sell
1/27/2014,FIGRX,ADMINISTRATIVE FEES,-5.01,-0.129,38.8372093,0.129,sell
1/27/2014,FFFFX,ADMINISTRATIVE FEES,-3.32,-0.361,9.1966759,0.361,sell
1/27/2014,FCNTX,ADMINISTRATIVE FEES,-2.83,-0.03,94.33333333,0.03,sell
1/27/2014,DODGX,ADMINISTRATIVE FEES,-2.84,-0.018,157.7777778,0.018,sell
1/27/2014,RMCVX,ADMINISTRATIVE FEES,-2.33,-0.228,10.21929825,0.228,sell
1/27/2014,PVADX,ADMINISTRATIVE FEES,-4.96,-0.157,31.59235669,0.157,sell
11/6/2013,FSEVX,ADMINISTRATIVE FEES,-1.59,-0.031,51.29032258,0.031,sell
11/6/2013,FUSVX,ADMINISTRATIVE FEES,-3.16,-0.05,63.2,0.05,sell
11/6/2013,ORIYX,ADMINISTRATIVE FEES,-1.99,-0.049,40.6122449,0.049,sell
11/6/2013,GGOIX,ADMINISTRATIVE FEES,-1.61,-0.051,31.56862745,0.051,sell
11/6/2013,FRESX,ADMINISTRATIVE FEES,-2.89,-0.086,33.60465116,0.086,sell
11/6/2013,FIGRX,ADMINISTRATIVE FEES,-4.86,-0.123,39.51219512,0.123,sell
11/6/2013,FFFFX,ADMINISTRATIVE FEES,-3.15,-0.334,9.431137725,0.334,sell
11/6/2013,FCNTX,ADMINISTRATIVE FEES,-2.77,-0.028,98.92857143,0.028,sell
11/6/2013,DODGX,ADMINISTRATIVE FEES,-2.73,-0.017,160.5882353,0.017,sell
11/6/2013,RMCVX,ADMINISTRATIVE FEES,-2.15,-0.198,10.85858586,0.198,sell
11/6/2013,PVADX,ADMINISTRATIVE FEES,-4.79,-0.134,35.74626866,0.134,sell
8/2/2013,FSEVX,ADMINISTRATIVE FEES,-4.56,-0.091,50.10989011,0.091,sell
8/2/2013,FUSVX,ADMINISTRATIVE FEES,-9.01,-0.149,60.46979866,0.149,sell
8/2/2013,ORIYX,ADMINISTRATIVE FEES,-5.6,-0.148,37.83783784,0.148,sell
8/2/2013,GGOIX,ADMINISTRATIVE FEES,-4.58,-0.154,29.74025974,0.154,sell
8/2/2013,FRESX,ADMINISTRATIVE FEES,-8.65,-0.256,33.7890625,0.256,sell
8/2/2013,FIGRX,ADMINISTRATIVE FEES,-13.64,-0.366,37.26775956,0.366,sell
8/2/2013,FFFFX,ADMINISTRATIVE FEES,-9.02,-0.992,9.092741935,0.992,sell
8/2/2013,FCNTX,ADMINISTRATIVE FEES,-7.74,-0.084,92.14285714,0.084,sell
8/2/2013,DODGX,ADMINISTRATIVE FEES,-7.72,-0.05,154.4,0.05,sell
8/2/2013,RMCVX,ADMINISTRATIVE FEES,-6.38,-0.59,10.81355932,0.59,sell
